 1.0000E-01   1.111789237927234D+03   1.227428414182544D+03   1.046246498506134D+03   1.811819156764094D+02
 1.0500E-01   9.130129948993097D+02   1.027051875535140D+03   8.490596414352048D+02   1.779922340999355D+02
 1.2500E-01   5.134927112760535D+02   6.211114472441996D+02   4.563372277389103D+02   1.647742195052899D+02
 1.4000E-01   3.671199428447647D+02   4.720829746820227D+02   3.120907999640716D+02   1.599921747179511D+02
 1.5500E-01   2.326855401616059D+02   3.396830781776201D+02   1.762220109211336D+02   1.634610672564865D+02
 1.7500E-01   2.212461715135059D+02   3.141157684940944D+02   1.794880741708089D+02   1.346276943232856D+02
 2.0000E-01   2.312463779491190D+02   3.131844061047481D+02   1.949826197397648D+02   1.182017863649831D+02
 2.2000E-01   2.212253946275919D+02   2.986749788126994D+02   1.861104040673656D+02   1.125645747453336D+02
 2.5000E-01   1.916427817273634D+02   2.658594847296751D+02   1.559916167295964D+02   1.098678680000786D+02
 3.0000E-01   1.532573617476853D+02   2.229678862047429D+02   1.172906509372938D+02   1.056772352674491D+02
 3.1750E-01   1.441188624925142D+02   2.124778733952248D+02   1.078279976677539D+02   1.046498757274709D+02
 3.5000E-01   1.208251481064928D+02   1.888941278458265D+02   8.171889908385396D+01   1.071752287619726D+02
 4.0000E-01   9.731579274398014D+01   1.636148943569409D+02   5.636588928499357D+01   1.072490050719473D+02
 4.5000E-01   8.046277257934233D+01   1.453500868056280D+02   3.752110064619099D+01   1.078289861594370D+02
 5.3000E-01   6.742089110596385D+01   1.271890372401016D+02   2.693262711068300D+01   1.002564101294186D+02
 5.7000E-01   6.287236888034671D+01   1.203601422316868D+02   2.332318443379190D+01   9.703695779789481D+01
 6.5000E-01   5.550487199802910D+01   1.090418963274418D+02   1.750740721935155D+01   9.153448910809027D+01
 7.3000E-01   5.071288424729087D+01   1.001594559444969D+02   1.562883159389270D+01   8.453062435060424D+01
 8.5000E-01   4.614267817956900D+01   9.007509220597265D+01   1.475085497242291D+01   7.532423723354972D+01
 1.0000E+00   4.056807293676967D+01   7.970132338925184D+01   1.182832623299846D+01   6.787299715625336D+01
 1.1500E+00   3.648288701076046D+01   7.167007414845159D+01   1.040654146584953D+01   6.126353268260205D+01
 1.3000E+00   3.312348123559354D+01   6.514473529388871D+01   9.340269737453852D+00   5.580446555643488D+01
 1.3500E+00   3.277943429867636D+01   6.358837189348743D+01   1.020309373878179D+01   5.338527815470566D+01
 1.4000E+00   3.195496108723720D+01   6.190842641085864D+01   9.809563105553035D+00   5.209886330530561D+01
 1.5300E+00   3.000646403381929D+01   5.769575023065012D+01   9.502145998236076D+00   4.819360423241405D+01
 1.6500E+00   2.800041945143668D+01   5.400423619699953D+01   8.524490918991255D+00   4.547974527800829D+01
 1.8000E+00   2.574867889223474D+01   4.968865546047645D+01   7.653802813803749D+00   4.203485264667270D+01
 1.9000E+00   2.439578864991579D+01   4.709209343475287D+01   7.114308949723618D+00   3.997778448502924D+01
 2.0000E+00   2.307834134565996D+01   4.451975914404811D+01   6.692917074792668D+00   3.782684206925545D+01
 2.1500E+00   2.183779092480100D+01   4.129973720506975D+01   6.862287785947034D+00   3.443744941912272D+01
 2.2700E+00   2.099621124059685D+01   3.904915667287055D+01   6.966854952729308D+00   3.208230172014123D+01
 2.3500E+00   2.035745106277295D+01   3.758623730048268D+01   6.897387695013594D+00   3.068884960546908D+01
 2.5000E+00   1.920571959533709D+01   3.486667098140222D+01   6.802960378153893D+00   2.806371060324834D+01
 2.7500E+00   1.903475090869770D+01   3.202229647812740D+01   8.443917695769727D+00   2.357837878235768D+01
 2.9000E+00   1.935126615791453D+01   3.109740351741682D+01   9.379662482698691D+00   2.171774103471813D+01
 3.1000E+00   1.854221988796266D+01   2.902178112017730D+01   9.237260009699133D+00   1.978452111047817D+01
 3.3500E+00   1.876157781883258D+01   2.806008290480332D+01   1.033578570643705D+01   1.772429719836628D+01
 3.5000E+00   1.581122533558134D+01   2.515118302284480D+01   6.693501780278410D+00   1.845768124256639D+01
 3.7500E+00   1.326038954435283D+01   2.137708675648886D+01   5.158488731481047D+00   1.621859802500781D+01
 4.0000E+00   1.183570908504993D+01   1.894552016190955D+01   4.490441567329761D+00   1.445507859457978D+01
 4.5200E+00   9.439535797520678D+00   1.475677582281839D+01   3.681441880411781D+00   1.107533394240660D+01
 4.8000E+00   8.671982595708844D+00   1.322986523847020D+01   3.636530973316255D+00   9.593334265153942D+00
 5.0000E+00   8.646914223316047D+00   1.271748031381552D+01   3.845482793228883D+00   8.871997520586634D+00
 5.3000E+00   7.864238839756190D+00   1.129309048909972D+01   3.719822364259190D+00   7.573268124840532D+00
 5.6000E+00   8.150451798468939D+00   1.097294897698940D+01   4.699149712817889D+00   6.273799264171513D+00
 5.9000E+00   9.240650728321951D+00   1.162564358546414D+01   6.120324145827791D+00   5.505319439636351D+00
 6.7500E+00   7.720569305145657D+00   9.505289444443314D+00   5.113742523940698D+00   4.391546920502619D+00
 7.5500E+00   5.689691460499389D+00   6.969598478851153D+00   3.777192525487987D+00   3.192405953363166D+00
 8.2500E+00   5.849965835249636D+00   6.723452999229812D+00   4.412548712697212D+00   2.310904286532598D+00
 8.7000E+00   6.967315293052487D+00   7.672565029690386D+00   5.715850785512504D+00   1.956714244177882D+00
 9.0000E+00   8.188440623490656D+00   8.792582476934276D+00   7.051011851625449D+00   1.741570625308826D+00
 9.3000E+00   1.326359836608312D+01   1.384407570996517D+01   1.206276868056474D+01   1.781307029400440D+00
 9.7500E+00   1.411867795457022D+01   1.466226787325543D+01   1.292256032591693D+01   1.739707547338496D+00
 1.0000E+01   1.390707894232677D+01   1.442276889968060D+01   1.270678433441352D+01   1.715984565267083D+00
 1.0500E+01   1.215373560456019D+01   1.261835510761798D+01   1.103466538312956D+01   1.583689724488425D+00
 1.1000E+01   1.051303156218406D+01   1.092572243520604D+01   9.492171413145813D+00   1.433551022060225D+00
 1.1400E+01   9.332043117506434D+00   9.713096827365716D+00   8.385076293842738D+00   1.328020533522977D+00
 1.2000E+01   7.610787022275044D+00   7.954256603241321D+00   6.799049672498890D+00   1.155206930742426D+00
 1.2700E+01   6.967516413243497D+00   7.230373618732223D+00   6.317662541684334D+00   9.127110770478888D-01
 1.3500E+01   8.107613988940859D+00   8.294315998651722D+00   7.582234668822768D+00   7.120813298289566D-01
 1.5000E+01   8.961223753679636D+00   9.090251301209614D+00   8.542178987193763D+00   5.480723140158550D-01
 1.6500E+01   1.115075657885883D+01   1.127121289696571D+01   1.072435563721111D+01   5.468572597546021D-01
 1.8000E+01   9.598942326577296D+00   9.712046954584990D+00   9.176234814620692D+00   5.358121399642944D-01
 1.9000E+01   8.248494056340657D+00   8.346046032395154D+00   7.863821505705133D+00   4.822245266900230D-01
 2.0000E+01   6.876801254108475D+00   6.960098290587174D+00   6.534050267130740D+00   4.260480234564342D-01
 2.1000E+01   5.993500850006982D+00   6.060191912576968D+00   5.698733747663785D+00   3.614581649131808D-01
 2.3000E+01   5.078031862250477D+00   5.119645309154206D+00   4.854580820048154D+00   2.650644891060506D-01
 2.5000E+01   4.918927014656720D+00   4.945423690825381D+00   4.744459673057504D+00   2.009640177678751D-01
 2.6500E+01   5.085199163880777D+00   5.107136086228558D+00   4.929542302440588D+00   1.775937837879698D-01
 2.7500E+01   4.883658118703502D+00   4.903143601898432D+00   4.739575420051386D+00   1.635681818470466D-01
 2.9500E+01   4.493690615120759D+00   4.509773259705700D+00   4.369728170359863D+00   1.400450893458344D-01
 3.1500E+01   3.651541827424432D+00   3.664830989508374D+00   3.548635607344451D+00   1.161953821639224D-01
 3.3100E+01   3.148911541513777D+00   3.159458295638948D+00   3.062305722946714D+00   9.715257269223594D-02
 3.4500E+01   2.766481778612584D+00   2.775249378503301D+00   2.691986493537378D+00   8.326288496592196D-02
 3.6000E+01   2.488942059917286D+00   2.496221259157029D+00   2.425527949516957D+00   7.069330964007170D-02
 3.7000E+01   2.350207259068574D+00   2.356498904739408D+00   2.293409247560421D+00   6.308965717898783D-02
 3.8500E+01   2.170780166029843D+00   2.175707970847371D+00   2.121755485974961D+00   5.395248487241004D-02
 4.0000E+01   1.980751811628798D+00   1.984831288182154D+00   1.938398567671749D+00   4.643272051040591D-02
 4.2000E+01   1.746108373475431D+00   1.749238232099701D+00   1.711264115164877D+00   3.797411693482439D-02
 4.3350E+01   1.636272096154595D+00   1.638797860360711D+00   1.605659611592928D+00   3.313824876778310D-02
 4.5540E+01   1.499271094292592D+00   1.501172183386657D+00   1.474088389971627D+00   2.708379341503055D-02
 5.0000E+01   1.282293067204243D+00   1.283434169481557D+00   1.264822718978605D+00   1.861145050295232D-02
 6.0000E+01   8.958781154865805D-01   8.963490326671655D-01   8.871312273232270D-01   9.217805343938172D-03
 7.0000E+01   6.657733972987339D-01   6.660033485112944D-01   6.609263268912041D-01   5.077021620090665D-03
 8.5000E+01   4.475020497436821D-01   4.476049146765684D-01   4.453298403473989D-01   2.275074329169581D-03
 1.0000E+02   3.224319111914534D-01   3.224705359446369D-01   3.213683019408854D-01   1.102234003751446D-03
 1.0600E+02   2.877173586567612D-01   2.877425118916614D-01   2.868752001763274D-01   8.673117153339815D-04
 1.1000E+02   2.664672011255201D-01   2.664865476622591D-01   2.657407751213971D-01   7.457725408619408D-04
 1.1500E+02   2.434196145194917D-01   2.434338534009640D-01   2.428115119837608D-01   6.223414172032853D-04
 1.2000E+02   2.245398127530510D-01   2.245505036992791D-01   2.240267477198691D-01   5.237559794100882D-04
 1.2700E+02   2.010001851451733D-01   2.010075439343673D-01   2.005907348856438D-01   4.168090487235275D-04
 1.3300E+02   1.818651236009693D-01   1.818705778513644D-01   1.815245226606429D-01   3.460551907214514D-04
 1.4100E+02   1.607368574925959D-01   1.607406051921212D-01   1.604673641175705D-01   2.732410745507872D-04
 1.4500E+02   1.522401912644848D-01   1.522433268245255D-01   1.519993095567562D-01   2.440172677693105D-04
 1.5000E+02   1.429171645442690D-01   1.429196939309067D-01   1.427068695817262D-01   2.128243491805583D-04
 1.5500E+02   1.346645959334253D-01   1.346666531821888D-01   1.344801654822435D-01   1.864876999453337D-04
 2.0000E+02   8.452107380544735D-02   8.452149944772075D-02   8.445435369109414D-02   6.714575662659460D-05
 2.5000E+02   5.331033828086859D-02   5.331044754417787D-02   5.328295623907542D-02   2.749130510245870D-05
 3.5000E+02   2.886671606760314D-02   2.886673014552493D-02   2.885957304838197D-02   7.157097142948223D-06
 4.5000E+02   1.537046053012867D-02   1.537046359881101D-02   1.536783517664130D-02   2.628422169710473D-06
 5.0000E+02   1.086546585576114D-02   1.086546747062375D-02   1.086374457124059D-02   1.722899383158521D-06
 6.0000E+02   6.402555301459532D-03   6.402555830337758D-03   6.401727428541478D-03   8.284017962813629D-07
 8.0000E+02   2.997036889045616D-03   2.997036978228129D-03   2.996775790832412D-03   2.611873957167852D-07
 1.0000E+03   1.925538044289907D-03   1.925538065974607D-03   1.925431322302504D-03   1.067436721024341D-07
 1.3000E+03   1.248180616981832D-03   1.248180620698703D-03   1.248143298123368D-03   3.732257533492975D-08
