# MAd/MH = 0.00642, MPAH/MH = 0.000659, Md/MH = 0.00708
# lambda   C_abs^PAH/H C_abs^Ad/H  C_sca^PAH/H C_sca^Ad/H  C_ext^PAH/H C_ext^Ad/H  C_ext^total/H  Albedo
# [um]     [cm^2/H]    [cm^2/H]    [cm^2/H]    [cm^2/H]    [cm^2/H]    [cm^2/H]    [cm^2/H]
8.1520e+01 5.9100e-27 6.6207e-25 2.9333e-35 3.5084e-29 5.9100e-27 6.6210e-25 6.6801e-25 5.2521e-05
8.2555e+01 5.8128e-27 6.4501e-25 2.7920e-35 3.3349e-29 5.8128e-27 6.4504e-25 6.5085e-25 5.1239e-05
8.3604e+01 5.7165e-27 6.2820e-25 2.6574e-35 3.1702e-29 5.7165e-27 6.2823e-25 6.3395e-25 5.0007e-05
8.4666e+01 5.6212e-27 6.1206e-25 2.5293e-35 3.0132e-29 5.6212e-27 6.1209e-25 6.1771e-25 4.8780e-05
8.5742e+01 5.5268e-27 5.9630e-25 2.4074e-35 2.8641e-29 5.5268e-27 5.9633e-25 6.0185e-25 4.7588e-05
8.6831e+01 5.4334e-27 5.8096e-25 2.2913e-35 2.7225e-29 5.4334e-27 5.8099e-25 5.8642e-25 4.6425e-05
8.7934e+01 5.3409e-27 5.6596e-25 2.1808e-35 2.5879e-29 5.3409e-27 5.6599e-25 5.7133e-25 4.5296e-05
8.9051e+01 5.2494e-27 5.5142e-25 2.0756e-35 2.4600e-29 5.2494e-27 5.5144e-25 5.5669e-25 4.4190e-05
9.0183e+01 5.1589e-27 5.3756e-25 1.9754e-35 2.3380e-29 5.1589e-27 5.3759e-25 5.4275e-25 4.3077e-05
9.1328e+01 5.0693e-27 5.2362e-25 1.8801e-35 2.2226e-29 5.0693e-27 5.2364e-25 5.2871e-25 4.2038e-05
9.2489e+01 4.9806e-27 5.1013e-25 1.7894e-35 2.1128e-29 4.9806e-27 5.1015e-25 5.1514e-25 4.1015e-05
9.3664e+01 4.8930e-27 4.9720e-25 1.7030e-35 2.0082e-29 4.8930e-27 4.9722e-25 5.0211e-25 3.9995e-05
9.4854e+01 4.8064e-27 4.8447e-25 1.6208e-35 1.9090e-29 4.8064e-27 4.8449e-25 4.8929e-25 3.9016e-05
9.6059e+01 4.7207e-27 4.7224e-25 1.5425e-35 1.8145e-29 4.7207e-27 4.7226e-25 4.7698e-25 3.8041e-05
9.7279e+01 4.6361e-27 4.6016e-25 1.4680e-35 1.7249e-29 4.6361e-27 4.6018e-25 4.6482e-25 3.7110e-05
9.8515e+01 4.5525e-27 4.4843e-25 1.3971e-35 1.6397e-29 4.5525e-27 4.4844e-25 4.5300e-25 3.6197e-05
9.9766e+01 4.4699e-27 4.3710e-25 1.3295e-35 1.5586e-29 4.4699e-27 4.3711e-25 4.4158e-25 3.5296e-05
1.0103e+02 4.3884e-27 4.2608e-25 1.2653e-35 1.4815e-29 4.3884e-27 4.2609e-25 4.3048e-25 3.4416e-05
1.0232e+02 4.3078e-27 4.1529e-25 1.2041e-35 1.4083e-29 4.3078e-27 4.1531e-25 4.1961e-25 3.3562e-05
1.0362e+02 4.2282e-27 4.0480e-25 1.1459e-35 1.3387e-29 4.2282e-27 4.0481e-25 4.0904e-25 3.2729e-05
1.0493e+02 4.1496e-27 3.9452e-25 1.0904e-35 1.2726e-29 4.1496e-27 3.9453e-25 3.9868e-25 3.1920e-05
1.0627e+02 4.0720e-27 3.8457e-25 1.0377e-35 1.2098e-29 4.0720e-27 3.8458e-25 3.8865e-25 3.1127e-05
1.0762e+02 3.9955e-27 3.7480e-25 9.8748e-36 1.1500e-29 3.9955e-27 3.7481e-25 3.7881e-25 3.0359e-05
1.0898e+02 3.9201e-27 3.6544e-25 9.3969e-36 1.0932e-29 3.9201e-27 3.6545e-25 3.6937e-25 2.9595e-05
1.1037e+02 3.8456e-27 3.5632e-25 8.9419e-36 1.0391e-29 3.8456e-27 3.5633e-25 3.6018e-25 2.8850e-05
1.1177e+02 3.7722e-27 3.4729e-25 8.5089e-36 9.8786e-30 3.7722e-27 3.4730e-25 3.5107e-25 2.8139e-05
1.1319e+02 3.6997e-27 3.3848e-25 8.0968e-36 9.3917e-30 3.6997e-27 3.3849e-25 3.4219e-25 2.7446e-05
1.1463e+02 3.6284e-27 3.3012e-25 7.7045e-36 8.9270e-30 3.6284e-27 3.3013e-25 3.3376e-25 2.6747e-05
1.1608e+02 3.5580e-27 3.2178e-25 7.3312e-36 8.4869e-30 3.5580e-27 3.2179e-25 3.2534e-25 2.6086e-05
1.1756e+02 3.4886e-27 3.1385e-25 6.9759e-36 8.0669e-30 3.4886e-27 3.1386e-25 3.1735e-25 2.5420e-05
1.1905e+02 3.4203e-27 3.0597e-25 6.6377e-36 7.6695e-30 3.4203e-27 3.0598e-25 3.0940e-25 2.4788e-05
1.2057e+02 3.3529e-27 2.9838e-25 6.3158e-36 7.2904e-30 3.3529e-27 2.9839e-25 3.0174e-25 2.4161e-05
1.2210e+02 3.2866e-27 2.9088e-25 6.0094e-36 6.9310e-30 3.2866e-27 2.9089e-25 2.9418e-25 2.3561e-05
1.2365e+02 3.2213e-27 2.8374e-25 5.7180e-36 6.5882e-30 3.2213e-27 2.8375e-25 2.8697e-25 2.2958e-05
1.2522e+02 3.1569e-27 2.7666e-25 5.4405e-36 6.2633e-30 3.1569e-27 2.7667e-25 2.7982e-25 2.2383e-05
1.2681e+02 3.0936e-27 2.6980e-25 5.1764e-36 5.9544e-30 3.0936e-27 2.6980e-25 2.7290e-25 2.1819e-05
1.2842e+02 3.0313e-27 2.6315e-25 4.9252e-36 5.6601e-30 3.0313e-27 2.6315e-25 2.6619e-25 2.1264e-05
1.3005e+02 2.9700e-27 2.5667e-25 4.6860e-36 5.3804e-30 2.9700e-27 2.5668e-25 2.5965e-25 2.0722e-05
1.3170e+02 2.9096e-27 2.5024e-25 4.4584e-36 5.1159e-30 2.9096e-27 2.5025e-25 2.5316e-25 2.0208e-05
1.3338e+02 2.8502e-27 2.4408e-25 4.2418e-36 4.8632e-30 2.8502e-27 2.4408e-25 2.4693e-25 1.9694e-05
1.3507e+02 2.7918e-27 2.3811e-25 4.0357e-36 4.6231e-30 2.7918e-27 2.3811e-25 2.4091e-25 1.9190e-05
1.3679e+02 2.7343e-27 2.3226e-25 3.8396e-36 4.3949e-30 2.7343e-27 2.3227e-25 2.3500e-25 1.8701e-05
1.3853e+02 2.6778e-27 2.2658e-25 3.6529e-36 4.1780e-30 2.6778e-27 2.2658e-25 2.2926e-25 1.8224e-05
1.4029e+02 2.6222e-27 2.2103e-25 3.4753e-36 3.9718e-30 2.6222e-27 2.2103e-25 2.2365e-25 1.7759e-05
1.4207e+02 2.5676e-27 2.1562e-25 3.3063e-36 3.7758e-30 2.5676e-27 2.1562e-25 2.1819e-25 1.7305e-05
1.4387e+02 2.5139e-27 2.1034e-25 3.1455e-36 3.5895e-30 2.5139e-27 2.1034e-25 2.1286e-25 1.6864e-05
1.4570e+02 2.4611e-27 2.0519e-25 2.9925e-36 3.4125e-30 2.4611e-27 2.0520e-25 2.0766e-25 1.6433e-05
1.4755e+02 2.4093e-27 2.0018e-25 2.8468e-36 3.2442e-30 2.4093e-27 2.0019e-25 2.0259e-25 1.6013e-05
1.4943e+02 2.3583e-27 1.9528e-25 2.7083e-36 3.0843e-30 2.3583e-27 1.9529e-25 1.9765e-25 1.5605e-05
1.5132e+02 2.3083e-27 1.9053e-25 2.5764e-36 2.9322e-30 2.3083e-27 1.9053e-25 1.9284e-25 1.5206e-05
1.5325e+02 2.2591e-27 1.8587e-25 2.4510e-36 2.7877e-30 2.2591e-27 1.8588e-25 1.8814e-25 1.4818e-05
1.5519e+02 2.2109e-27 1.8136e-25 2.3316e-36 2.6503e-30 2.2109e-27 1.8136e-25 1.8357e-25 1.4438e-05
1.5717e+02 2.1635e-27 1.7694e-25 2.2180e-36 2.5198e-30 2.1635e-27 1.7694e-25 1.7911e-25 1.4069e-05
1.5916e+02 2.1169e-27 1.7269e-25 2.1099e-36 2.3954e-30 2.1169e-27 1.7269e-25 1.7481e-25 1.3703e-05
1.6118e+02 2.0713e-27 1.6855e-25 2.0071e-36 2.2771e-30 2.0713e-27 1.6855e-25 1.7062e-25 1.3345e-05
1.6323e+02 2.0264e-27 1.6444e-25 1.9093e-36 2.1649e-30 2.0264e-27 1.6445e-25 1.6647e-25 1.3005e-05
1.6531e+02 1.9824e-27 1.6047e-25 1.8162e-36 2.0583e-30 1.9824e-27 1.6047e-25 1.6246e-25 1.2670e-05
1.6741e+02 1.9392e-27 1.5656e-25 1.7276e-36 1.9570e-30 1.9392e-27 1.5656e-25 1.5850e-25 1.2347e-05
1.6953e+02 1.8969e-27 1.5288e-25 1.6434e-36 1.8602e-30 1.8969e-27 1.5288e-25 1.5477e-25 1.2019e-05
1.7169e+02 1.8553e-27 1.4916e-25 1.5632e-36 1.7686e-30 1.8553e-27 1.4917e-25 1.5102e-25 1.1711e-05
1.7387e+02 1.8145e-27 1.4555e-25 1.4869e-36 1.6816e-30 1.8145e-27 1.4555e-25 1.4737e-25 1.1411e-05
1.7608e+02 1.7746e-27 1.4207e-25 1.4144e-36 1.5988e-30 1.7746e-27 1.4207e-25 1.4385e-25 1.1114e-05
1.7831e+02 1.7353e-27 1.3872e-25 1.3454e-36 1.5198e-30 1.7353e-27 1.3872e-25 1.4046e-25 1.0820e-05
1.8058e+02 1.6969e-27 1.3537e-25 1.2797e-36 1.4450e-30 1.6969e-27 1.3537e-25 1.3707e-25 1.0542e-05
1.8287e+02 1.6592e-27 1.3215e-25 1.2172e-36 1.3738e-30 1.6592e-27 1.3215e-25 1.3381e-25 1.0266e-05
1.8520e+02 1.6222e-27 1.2901e-25 1.1578e-36 1.3060e-30 1.6222e-27 1.2901e-25 1.3063e-25 9.9978e-06
1.8755e+02 1.5860e-27 1.2590e-25 1.1012e-36 1.2418e-30 1.5860e-27 1.2590e-25 1.2748e-25 9.7405e-06
1.8993e+02 1.5505e-27 1.2293e-25 1.0474e-36 1.1805e-30 1.5505e-27 1.2293e-25 1.2448e-25 9.4835e-06
1.9234e+02 1.5157e-27 1.2001e-25 9.9626e-37 1.1224e-30 1.5157e-27 1.2001e-25 1.2153e-25 9.2356e-06
1.9479e+02 1.4817e-27 1.1713e-25 9.4758e-37 1.0672e-30 1.4817e-27 1.1714e-25 1.1862e-25 8.9969e-06
1.9726e+02 1.4482e-27 1.1439e-25 9.0127e-37 1.0144e-30 1.4482e-27 1.1439e-25 1.1584e-25 8.7572e-06
1.9977e+02 1.4155e-27 1.1167e-25 8.5722e-37 9.6459e-31 1.4155e-27 1.1167e-25 1.1308e-25 8.5299e-06
2.0231e+02 1.3834e-27 1.0901e-25 8.1531e-37 9.1713e-31 1.3834e-27 1.0901e-25 1.1039e-25 8.3079e-06
2.0488e+02 1.3521e-27 1.0645e-25 7.7544e-37 8.7187e-31 1.3521e-27 1.0645e-25 1.0781e-25 8.0874e-06
2.0748e+02 1.3213e-27 1.0395e-25 7.3753e-37 8.2895e-31 1.3213e-27 1.0395e-25 1.0527e-25 7.8745e-06
2.1012e+02 1.2912e-27 1.0150e-25 7.0146e-37 7.8809e-31 1.2912e-27 1.0150e-25 1.0280e-25 7.6666e-06
2.1278e+02 1.2617e-27 9.9125e-26 6.6714e-37 7.4925e-31 1.2617e-27 9.9126e-26 1.0039e-25 7.4636e-06
2.1549e+02 1.2328e-27 9.6797e-26 6.3451e-37 7.1237e-31 1.2328e-27 9.6798e-26 9.8031e-26 7.2668e-06
2.1823e+02 1.2045e-27 9.4487e-26 6.0346e-37 6.7737e-31 1.2045e-27 9.4488e-26 9.5692e-26 7.0786e-06
2.2100e+02 1.1769e-27 9.2307e-26 5.7393e-37 6.4395e-31 1.1769e-27 9.2307e-26 9.3484e-26 6.8883e-06
2.2381e+02 1.1498e-27 9.0127e-26 5.4584e-37 6.1230e-31 1.1498e-27 9.0128e-26 9.1277e-26 6.7082e-06
2.2665e+02 1.1232e-27 8.8044e-26 5.1912e-37 5.8208e-31 1.1232e-27 8.8045e-26 8.9168e-26 6.5279e-06
2.2953e+02 1.0973e-27 8.5984e-26 4.9370e-37 5.5347e-31 1.0973e-27 8.5985e-26 8.7082e-26 6.3557e-06
2.3244e+02 1.0719e-27 8.4001e-26 4.6953e-37 5.2617e-31 1.0719e-27 8.4002e-26 8.5074e-26 6.1849e-06
2.3540e+02 1.0471e-27 8.2028e-26 4.4654e-37 5.0029e-31 1.0471e-27 8.2029e-26 8.3076e-26 6.0221e-06
2.3839e+02 1.0227e-27 8.0123e-26 4.2467e-37 4.7565e-31 1.0227e-27 8.0123e-26 8.1146e-26 5.8616e-06
2.4142e+02 9.9893e-28 7.8268e-26 4.0387e-37 4.5223e-31 9.9893e-28 7.8269e-26 7.9268e-26 5.7051e-06
2.4448e+02 9.7566e-28 7.6464e-26 3.8409e-37 4.2998e-31 9.7566e-28 7.6464e-26 7.7440e-26 5.5524e-06
2.4759e+02 9.5289e-28 7.4698e-26 3.6527e-37 4.0879e-31 9.5289e-28 7.4699e-26 7.5652e-26 5.4036e-06
2.5073e+02 9.3062e-28 7.2957e-26 3.4737e-37 3.8870e-31 9.3062e-28 7.2957e-26 7.3888e-26 5.2606e-06
2.5392e+02 9.0884e-28 7.1288e-26 3.3035e-37 3.6952e-31 9.0884e-28 7.1288e-26 7.2197e-26 5.1183e-06
2.5715e+02 8.8753e-28 6.9640e-26 3.1416e-37 3.5138e-31 8.8753e-28 6.9640e-26 7.0528e-26 4.9821e-06
2.6041e+02 8.6669e-28 6.8037e-26 2.9876e-37 3.3405e-31 8.6669e-28 6.8038e-26 6.8904e-26 4.8480e-06
2.6372e+02 8.4631e-28 6.6459e-26 2.8412e-37 3.1764e-31 8.4631e-28 6.6459e-26 6.7306e-26 4.7193e-06
2.6707e+02 8.2638e-28 6.4944e-26 2.7019e-37 3.0199e-31 8.2638e-28 6.4944e-26 6.5771e-26 4.5916e-06
2.7046e+02 8.0690e-28 6.3451e-26 2.5695e-37 2.8714e-31 8.0690e-28 6.3452e-26 6.4259e-26 4.4685e-06
2.7390e+02 7.8785e-28 6.2011e-26 2.4435e-37 2.7297e-31 7.8785e-28 6.2011e-26 6.2799e-26 4.3468e-06
2.7738e+02 7.6923e-28 6.0587e-26 2.3236e-37 2.5954e-31 7.6923e-28 6.0587e-26 6.1357e-26 4.2301e-06
2.8090e+02 7.5103e-28 5.9219e-26 2.2097e-37 2.4676e-31 7.5103e-28 5.9219e-26 5.9970e-26 4.1148e-06
2.8447e+02 7.3323e-28 5.7870e-26 2.1013e-37 2.3464e-31 7.3323e-28 5.7870e-26 5.8603e-26 4.0039e-06
2.8809e+02 7.1583e-28 5.6544e-26 1.9982e-37 2.2308e-31 7.1583e-28 5.6545e-26 5.7261e-26 3.8958e-06
2.9175e+02 6.9883e-28 5.5235e-26 1.9002e-37 2.1212e-31 6.9883e-28 5.5235e-26 5.5934e-26 3.7924e-06
2.9545e+02 6.8221e-28 5.4012e-26 1.8070e-37 2.0167e-31 6.8221e-28 5.4012e-26 5.4694e-26 3.6872e-06
2.9921e+02 6.6597e-28 5.2761e-26 1.7183e-37 1.9176e-31 6.6597e-28 5.2761e-26 5.3427e-26 3.5893e-06
3.0301e+02 6.5009e-28 5.1588e-26 1.6340e-37 1.8231e-31 6.5009e-28 5.1588e-26 5.2238e-26 3.4899e-06
3.0686e+02 6.3458e-28 5.0423e-26 1.5538e-37 1.7333e-31 6.3458e-28 5.0423e-26 5.1058e-26 3.3948e-06
3.1076e+02 6.1943e-28 4.9284e-26 1.4776e-37 1.6481e-31 6.1943e-28 4.9284e-26 4.9904e-26 3.3025e-06
3.1470e+02 6.0461e-28 4.8168e-26 1.4050e-37 1.5670e-31 6.0461e-28 4.8168e-26 4.8773e-26 3.2130e-06
3.1870e+02 5.9015e-28 4.7082e-26 1.3361e-37 1.4899e-31 5.9015e-28 4.7082e-26 4.7672e-26 3.1254e-06
3.2275e+02 5.7601e-28 4.6014e-26 1.2705e-37 1.4167e-31 5.7601e-28 4.6015e-26 4.6591e-26 3.0408e-06
3.2685e+02 5.6220e-28 4.4983e-26 1.2081e-37 1.3470e-31 5.6220e-28 4.4983e-26 4.5546e-26 2.9574e-06
3.3100e+02 5.4870e-28 4.4001e-26 1.1488e-37 1.2805e-31 5.4870e-28 4.4001e-26 4.4549e-26 2.8744e-06
3.3521e+02 5.3552e-28 4.3008e-26 1.0924e-37 1.2177e-31 5.3552e-28 4.3008e-26 4.3543e-26 2.7965e-06
3.3947e+02 5.2264e-28 4.2037e-26 1.0388e-37 1.1577e-31 5.2264e-28 4.2037e-26 4.2560e-26 2.7202e-06
3.4378e+02 5.1006e-28 4.1092e-26 9.8776e-38 1.1009e-31 5.1006e-28 4.1092e-26 4.1602e-26 2.6462e-06
3.4815e+02 4.9778e-28 4.0199e-26 9.3926e-38 1.0466e-31 4.9778e-28 4.0199e-26 4.0697e-26 2.5717e-06
3.5257e+02 4.8578e-28 3.9303e-26 8.9313e-38 9.9510e-32 4.8578e-28 3.9303e-26 3.9789e-26 2.5010e-06
3.5705e+02 4.7406e-28 3.8423e-26 8.4926e-38 9.4618e-32 4.7406e-28 3.8423e-26 3.8897e-26 2.4325e-06
3.6158e+02 4.6261e-28 3.7558e-26 8.0755e-38 8.9968e-32 4.6261e-28 3.7559e-26 3.8021e-26 2.3663e-06
3.6618e+02 4.5143e-28 3.6727e-26 7.6788e-38 8.5540e-32 4.5143e-28 3.6727e-26 3.7178e-26 2.3008e-06
3.7083e+02 4.4052e-28 3.5937e-26 7.3017e-38 8.1324e-32 4.4052e-28 3.5937e-26 3.6377e-26 2.2356e-06
3.7554e+02 4.2986e-28 3.5124e-26 6.9429e-38 7.7333e-32 4.2986e-28 3.5124e-26 3.5554e-26 2.1751e-06
3.8031e+02 4.1945e-28 3.4364e-26 6.6018e-38 7.3523e-32 4.1945e-28 3.4364e-26 3.4783e-26 2.1138e-06
3.8514e+02 4.0928e-28 3.3579e-26 6.2775e-38 6.9916e-32 4.0928e-28 3.3579e-26 3.3988e-26 2.0571e-06
3.9004e+02 3.9935e-28 3.2850e-26 5.9690e-38 6.6469e-32 3.9935e-28 3.2850e-26 3.3249e-26 1.9991e-06
3.9499e+02 3.8966e-28 3.2133e-26 5.6757e-38 6.3198e-32 3.8966e-28 3.2133e-26 3.2523e-26 1.9432e-06
4.0001e+02 3.8020e-28 3.1428e-26 5.3968e-38 6.0094e-32 3.8020e-28 3.1428e-26 3.1809e-26 1.8892e-06
4.0509e+02 3.7096e-28 3.0737e-26 5.1316e-38 5.7140e-32 3.7096e-28 3.0737e-26 3.1108e-26 1.8368e-06
4.1024e+02 3.6194e-28 3.0070e-26 4.8794e-38 5.4331e-32 3.6194e-28 3.0070e-26 3.0432e-26 1.7853e-06
4.1545e+02 3.5313e-28 2.9411e-26 4.6396e-38 5.1652e-32 3.5313e-28 2.9411e-26 2.9764e-26 1.7354e-06
4.2073e+02 3.4454e-28 2.8757e-26 4.4116e-38 4.9117e-32 3.4454e-28 2.8757e-26 2.9101e-26 1.6878e-06
4.2607e+02 3.3615e-28 2.8147e-26 4.1948e-38 4.6698e-32 3.3615e-28 2.8147e-26 2.8483e-26 1.6395e-06
4.3149e+02 3.2795e-28 2.7538e-26 3.9886e-38 4.4397e-32 3.2795e-28 2.7538e-26 2.7866e-26 1.5932e-06
4.3697e+02 3.1996e-28 2.6921e-26 3.7925e-38 4.2220e-32 3.1996e-28 2.6921e-26 2.7241e-26 1.5499e-06
4.4252e+02 3.1215e-28 2.6347e-26 3.6061e-38 4.0141e-32 3.1215e-28 2.6347e-26 2.6659e-26 1.5057e-06
4.4814e+02 3.0453e-28 2.5773e-26 3.4288e-38 3.8171e-32 3.0453e-28 2.5773e-26 2.6078e-26 1.4637e-06
4.5383e+02 2.9709e-28 2.5223e-26 3.2602e-38 3.6289e-32 2.9709e-28 2.5223e-26 2.5521e-26 1.4220e-06
4.5960e+02 2.8983e-28 2.4676e-26 3.1000e-38 3.4505e-32 2.8983e-28 2.4676e-26 2.4965e-26 1.3821e-06
4.6544e+02 2.8275e-28 2.4137e-26 2.9476e-38 3.2810e-32 2.8275e-28 2.4137e-26 2.4420e-26 1.3436e-06
4.7135e+02 2.7583e-28 2.3627e-26 2.8026e-38 3.1193e-32 2.7583e-28 2.3627e-26 2.3903e-26 1.3050e-06
4.7734e+02 2.6908e-28 2.3109e-26 2.6648e-38 2.9662e-32 2.6908e-28 2.3109e-26 2.3378e-26 1.2688e-06
4.8340e+02 2.6249e-28 2.2617e-26 2.5338e-38 2.8202e-32 2.6249e-28 2.2617e-26 2.2880e-26 1.2326e-06
4.8954e+02 2.5606e-28 2.2127e-26 2.4092e-38 2.6819e-32 2.5606e-28 2.2127e-26 2.2383e-26 1.1982e-06
4.9576e+02 2.4979e-28 2.1659e-26 2.2907e-38 2.5497e-32 2.4979e-28 2.1659e-26 2.1909e-26 1.1638e-06
5.0206e+02 2.4366e-28 2.1198e-26 2.1781e-38 2.4242e-32 2.4366e-28 2.1198e-26 2.1442e-26 1.1306e-06
5.0844e+02 2.3769e-28 2.0735e-26 2.0710e-38 2.3052e-32 2.3769e-28 2.0735e-26 2.0973e-26 1.0992e-06
5.1490e+02 2.3186e-28 2.0298e-26 1.9691e-38 2.1916e-32 2.3186e-28 2.0298e-26 2.0530e-26 1.0676e-06
5.2144e+02 2.2617e-28 1.9867e-26 1.8723e-38 2.0839e-32 2.2617e-28 1.9867e-26 2.0093e-26 1.0371e-06
5.2807e+02 2.2061e-28 1.9440e-26 1.7802e-38 1.9815e-32 2.2061e-28 1.9440e-26 1.9661e-26 1.0079e-06
5.3477e+02 2.1519e-28 1.9036e-26 1.6926e-38 1.8839e-32 2.1519e-28 1.9037e-26 1.9252e-26 9.7856e-07
5.4157e+02 2.0991e-28 1.8631e-26 1.6094e-38 1.7914e-32 2.0991e-28 1.8631e-26 1.8841e-26 9.5081e-07
5.4845e+02 2.0475e-28 1.8238e-26 1.5302e-38 1.7033e-32 2.0475e-28 1.8238e-26 1.8443e-26 9.2353e-07
5.5542e+02 1.9971e-28 1.7845e-26 1.4550e-38 1.6197e-32 1.9971e-28 1.7845e-26 1.8044e-26 8.9764e-07
5.6247e+02 1.9480e-28 1.7468e-26 1.3834e-38 1.5399e-32 1.9480e-28 1.7468e-26 1.7663e-26 8.7184e-07
5.6962e+02 1.9001e-28 1.7111e-26 1.3153e-38 1.4641e-32 1.9001e-28 1.7111e-26 1.7301e-26 8.4625e-07
5.7685e+02 1.8533e-28 1.6742e-26 1.2506e-38 1.3923e-32 1.8533e-28 1.6742e-26 1.6927e-26 8.2254e-07
5.8418e+02 1.8077e-28 1.6396e-26 1.1891e-38 1.3237e-32 1.8077e-28 1.6396e-26 1.6577e-26 7.9853e-07
5.9160e+02 1.7631e-28 1.6047e-26 1.1306e-38 1.2586e-32 1.7631e-28 1.6047e-26 1.6223e-26 7.7581e-07
5.9912e+02 1.7197e-28 1.5711e-26 1.0750e-38 1.1968e-32 1.7197e-28 1.5711e-26 1.5883e-26 7.5350e-07
6.0673e+02 1.6773e-28 1.5388e-26 1.0221e-38 1.1378e-32 1.6773e-28 1.5388e-26 1.5556e-26 7.3147e-07
6.1444e+02 1.6360e-28 1.5063e-26 9.7183e-39 1.0820e-32 1.6360e-28 1.5063e-26 1.5227e-26 7.1059e-07
6.2225e+02 1.5956e-28 1.4748e-26 9.2402e-39 1.0288e-32 1.5956e-28 1.4748e-26 1.4907e-26 6.9011e-07
6.3015e+02 1.5563e-28 1.4441e-26 8.7854e-39 9.7808e-33 1.5563e-28 1.4441e-26 1.4597e-26 6.7007e-07
6.3816e+02 1.5179e-28 1.4142e-26 8.3533e-39 9.3013e-33 1.5179e-28 1.4142e-26 1.4294e-26 6.5071e-07
6.4626e+02 1.4804e-28 1.3847e-26 7.9422e-39 8.8431e-33 1.4804e-28 1.3847e-26 1.3995e-26 6.3186e-07
6.5447e+02 1.4439e-28 1.3566e-26 7.5514e-39 8.4078e-33 1.4439e-28 1.3566e-26 1.3710e-26 6.1326e-07
6.6279e+02 1.4082e-28 1.3276e-26 7.1799e-39 7.9954e-33 1.4082e-28 1.3276e-26 1.3417e-26 5.9593e-07
6.7121e+02 1.3735e-28 1.3004e-26 6.8266e-39 7.6022e-33 1.3735e-28 1.3005e-26 1.3142e-26 5.7847e-07
6.7974e+02 1.3395e-28 1.2736e-26 6.4907e-39 7.2290e-33 1.3395e-28 1.2736e-26 1.2870e-26 5.6170e-07
6.8837e+02 1.3064e-28 1.2477e-26 6.1713e-39 6.8728e-33 1.3064e-28 1.2477e-26 1.2608e-26 5.4513e-07
6.9712e+02 1.2741e-28 1.2218e-26 5.8676e-39 6.5353e-33 1.2741e-28 1.2218e-26 1.2345e-26 5.2939e-07
7.0597e+02 1.2426e-28 1.1965e-26 5.5789e-39 6.2140e-33 1.2426e-28 1.1965e-26 1.2089e-26 5.1400e-07
7.1494e+02 1.2119e-28 1.1720e-26 5.3044e-39 5.9078e-33 1.2119e-28 1.1720e-26 1.1841e-26 4.9892e-07
7.2402e+02 1.1820e-28 1.1482e-26 5.0434e-39 5.6182e-33 1.1820e-28 1.1482e-26 1.1600e-26 4.8433e-07
7.3322e+02 1.1527e-28 1.1246e-26 4.7951e-39 5.3415e-33 1.1527e-28 1.1246e-26 1.1361e-26 4.7016e-07
7.4254e+02 1.1242e-28 1.1022e-26 4.5592e-39 5.0786e-33 1.1242e-28 1.1022e-26 1.1134e-26 4.5612e-07
7.5197e+02 1.0964e-28 1.0790e-26 4.3348e-39 4.8295e-33 1.0964e-28 1.0790e-26 1.0899e-26 4.4311e-07
7.6152e+02 1.0692e-28 1.0576e-26 4.1215e-39 4.5916e-33 1.0692e-28 1.0576e-26 1.0683e-26 4.2980e-07
7.7120e+02 1.0428e-28 1.0363e-26 3.9186e-39 4.3659e-33 1.0428e-28 1.0363e-26 1.0468e-26 4.1709e-07
7.8100e+02 1.0170e-28 1.0148e-26 3.7258e-39 4.1514e-33 1.0170e-28 1.0148e-26 1.0250e-26 4.0503e-07
7.9092e+02 9.9179e-29 9.9410e-27 3.5424e-39 3.9470e-33 9.9179e-29 9.9410e-27 1.0040e-26 3.9312e-07
8.0097e+02 9.6723e-29 9.7373e-27 3.3681e-39 3.7532e-33 9.6723e-29 9.7373e-27 9.8341e-27 3.8166e-07
8.1114e+02 9.4327e-29 9.5449e-27 3.2023e-39 3.5686e-33 9.4327e-29 9.5449e-27 9.6392e-27 3.7022e-07
8.2145e+02 9.1990e-29 9.3547e-27 3.0447e-39 3.3928e-33 9.1990e-29 9.3547e-27 9.4467e-27 3.5915e-07
8.3188e+02 8.9710e-29 9.1627e-27 2.8948e-39 3.2266e-33 8.9710e-29 9.1627e-27 9.2524e-27 3.4873e-07
8.4245e+02 8.7488e-29 8.9814e-27 2.7524e-39 3.0676e-33 8.7488e-29 8.9814e-27 9.0689e-27 3.3826e-07
8.5315e+02 8.5320e-29 8.8019e-27 2.6169e-39 2.9167e-33 8.5320e-29 8.8019e-27 8.8872e-27 3.2819e-07
8.6399e+02 8.3204e-29 8.6226e-27 2.4881e-39 2.7736e-33 8.3204e-29 8.6226e-27 8.7058e-27 3.1859e-07
8.7497e+02 8.1142e-29 8.4524e-27 2.3656e-39 2.6370e-33 8.1142e-29 8.4524e-27 8.5335e-27 3.0901e-07
8.8608e+02 7.9129e-29 8.2829e-27 2.2492e-39 2.5074e-33 7.9129e-29 8.2829e-27 8.3620e-27 2.9986e-07
8.9734e+02 7.7167e-29 8.1167e-27 2.1385e-39 2.3842e-33 7.7167e-29 8.1167e-27 8.1939e-27 2.9098e-07
