# MAd/MH = 0.00642, MPAH/MH = 0.000659, Md/MH = 0.00708
# lambda   C_abs^PAH/H C_abs^Ad/H  C_sca^PAH/H C_sca^Ad/H  C_ext^PAH/H C_ext^Ad/H  C_ext^total/H  Albedo
# [um]     [cm^2/H]    [cm^2/H]    [cm^2/H]    [cm^2/H]    [cm^2/H]    [cm^2/H]    [cm^2/H]
2.0077e+01 2.9213e-26 1.3935e-23 7.2050e-33 7.8977e-27 2.9213e-26 1.3943e-23 1.3972e-23 5.6524e-04
2.0332e+01 2.8541e-26 1.3627e-23 6.8528e-33 7.6056e-27 2.8541e-26 1.3635e-23 1.3664e-23 5.5664e-04
2.0590e+01 2.7917e-26 1.3336e-23 6.5178e-33 7.3214e-27 2.7917e-26 1.3343e-23 1.3371e-23 5.4755e-04
2.0852e+01 2.7330e-26 1.3063e-23 6.1994e-33 7.0510e-27 2.7330e-26 1.3070e-23 1.3098e-23 5.3835e-04
2.1117e+01 2.6772e-26 1.2804e-23 5.8965e-33 6.7962e-27 2.6772e-26 1.2811e-23 1.2837e-23 5.2941e-04
2.1385e+01 2.6241e-26 1.2541e-23 5.6084e-33 6.5494e-27 2.6241e-26 1.2548e-23 1.2574e-23 5.2087e-04
2.1657e+01 2.5732e-26 1.2277e-23 5.3345e-33 6.3164e-27 2.5732e-26 1.2284e-23 1.2309e-23 5.1314e-04
2.1932e+01 2.5244e-26 1.2005e-23 5.0741e-33 6.0937e-27 2.5244e-26 1.2011e-23 1.2036e-23 5.0627e-04
2.2210e+01 2.4774e-26 1.1713e-23 4.8263e-33 5.8704e-27 2.4774e-26 1.1719e-23 1.1744e-23 4.9987e-04
2.2492e+01 2.4321e-26 1.1406e-23 4.5908e-33 5.6476e-27 2.4321e-26 1.1412e-23 1.1436e-23 4.9384e-04
2.2778e+01 2.3884e-26 1.1091e-23 4.3667e-33 5.4240e-27 2.3884e-26 1.1097e-23 1.1120e-23 4.8774e-04
2.3068e+01 2.3461e-26 1.0763e-23 4.1537e-33 5.1983e-27 2.3461e-26 1.0769e-23 1.0792e-23 4.8168e-04
2.3361e+01 2.3053e-26 1.0443e-23 3.9510e-33 4.9774e-27 2.3053e-26 1.0448e-23 1.0471e-23 4.7535e-04
2.3657e+01 2.2658e-26 1.0129e-23 3.7583e-33 4.7597e-27 2.2658e-26 1.0134e-23 1.0157e-23 4.6863e-04
2.3958e+01 2.2276e-26 9.8266e-24 3.5751e-33 4.5462e-27 2.2276e-26 9.8312e-24 9.8535e-24 4.6138e-04
2.4262e+01 2.1905e-26 9.5346e-24 3.4008e-33 4.3416e-27 2.1905e-26 9.5389e-24 9.5608e-24 4.5410e-04
2.4571e+01 2.1546e-26 9.2555e-24 3.2350e-33 4.1426e-27 2.1546e-26 9.2596e-24 9.2812e-24 4.4635e-04
2.4883e+01 2.1198e-26 8.9816e-24 3.0774e-33 3.9502e-27 2.1198e-26 8.9855e-24 9.0067e-24 4.3858e-04
2.5199e+01 2.0861e-26 8.7183e-24 2.9275e-33 3.7669e-27 2.0861e-26 8.7221e-24 8.7430e-24 4.3085e-04
2.5519e+01 2.0533e-26 8.4689e-24 2.7848e-33 3.5921e-27 2.0533e-26 8.4725e-24 8.4931e-24 4.2294e-04
2.5843e+01 2.0215e-26 8.2258e-24 2.6492e-33 3.4245e-27 2.0215e-26 8.2292e-24 8.2494e-24 4.1513e-04
2.6171e+01 1.9906e-26 7.9880e-24 2.5202e-33 3.2638e-27 1.9906e-26 7.9913e-24 8.0112e-24 4.0740e-04
2.6504e+01 1.9605e-26 7.7577e-24 2.3976e-33 3.1108e-27 1.9605e-26 7.7608e-24 7.7804e-24 3.9982e-04
2.6841e+01 1.9313e-26 7.5390e-24 2.2809e-33 2.9649e-27 1.9313e-26 7.5420e-24 7.5613e-24 3.9212e-04
2.7182e+01 1.9028e-26 7.3214e-24 2.1699e-33 2.8248e-27 1.9028e-26 7.3242e-24 7.3432e-24 3.8468e-04
2.7527e+01 1.8752e-26 7.1137e-24 2.0644e-33 2.6909e-27 1.8752e-26 7.1163e-24 7.1351e-24 3.7714e-04
2.7877e+01 1.8482e-26 6.9099e-24 1.9639e-33 2.5621e-27 1.8482e-26 6.9124e-24 6.9309e-24 3.6966e-04
2.8231e+01 1.8220e-26 6.7123e-24 1.8685e-33 2.4395e-27 1.8220e-26 6.7147e-24 6.7329e-24 3.6233e-04
2.8589e+01 1.7964e-26 6.5206e-24 1.7777e-33 2.3231e-27 1.7964e-26 6.5230e-24 6.5409e-24 3.5516e-04
2.8953e+01 1.7715e-26 6.3355e-24 1.6913e-33 2.2119e-27 1.7715e-26 6.3377e-24 6.3554e-24 3.4803e-04
2.9321e+01 1.7471e-26 6.1554e-24 1.6091e-33 2.1052e-27 1.7471e-26 6.1575e-24 6.1749e-24 3.4093e-04
2.9693e+01 1.7234e-26 5.9800e-24 1.5309e-33 2.0040e-27 1.7234e-26 5.9820e-24 5.9992e-24 3.3404e-04
3.0070e+01 1.7002e-26 5.8123e-24 1.4566e-33 1.9076e-27 1.7002e-26 5.8142e-24 5.8312e-24 3.2714e-04
3.0452e+01 1.6775e-26 5.6477e-24 1.3859e-33 1.8154e-27 1.6775e-26 5.6496e-24 5.6663e-24 3.2038e-04
3.0839e+01 1.6553e-26 5.4870e-24 1.3186e-33 1.7275e-27 1.6553e-26 5.4888e-24 5.5053e-24 3.1379e-04
3.1231e+01 1.6337e-26 5.3311e-24 1.2546e-33 1.6440e-27 1.6337e-26 5.3328e-24 5.3491e-24 3.0734e-04
3.1628e+01 1.6124e-26 5.1811e-24 1.1937e-33 1.5637e-27 1.6124e-26 5.1827e-24 5.1988e-24 3.0078e-04
3.2029e+01 1.5917e-26 5.0352e-24 1.1358e-33 1.4874e-27 1.5917e-26 5.0367e-24 5.0526e-24 2.9439e-04
3.2436e+01 1.5713e-26 4.8906e-24 1.0808e-33 1.4152e-27 1.5713e-26 4.8921e-24 4.9078e-24 2.8836e-04
3.2848e+01 1.5514e-26 4.7545e-24 1.0284e-33 1.3463e-27 1.5514e-26 4.7558e-24 4.7713e-24 2.8217e-04
3.3266e+01 1.5318e-26 4.6225e-24 9.7853e-34 1.2806e-27 1.5318e-26 4.6238e-24 4.6391e-24 2.7605e-04
3.3688e+01 1.5126e-26 4.4904e-24 9.3111e-34 1.2180e-27 1.5126e-26 4.4916e-24 4.5068e-24 2.7027e-04
3.4116e+01 1.4938e-26 4.3640e-24 8.8600e-34 1.1585e-27 1.4938e-26 4.3651e-24 4.3801e-24 2.6449e-04
3.4550e+01 1.4753e-26 4.2427e-24 8.4310e-34 1.1019e-27 1.4753e-26 4.2438e-24 4.2585e-24 2.5874e-04
3.4989e+01 1.4571e-26 4.1229e-24 8.0227e-34 1.0478e-27 1.4571e-26 4.1240e-24 4.1386e-24 2.5317e-04
3.5433e+01 1.4393e-26 4.0078e-24 7.6343e-34 9.9663e-28 1.4393e-26 4.0088e-24 4.0232e-24 2.4772e-04
3.5883e+01 1.4217e-26 3.8970e-24 7.2649e-34 9.4764e-28 1.4217e-26 3.8979e-24 3.9122e-24 2.4223e-04
3.6339e+01 1.4044e-26 3.7890e-24 6.9133e-34 9.0109e-28 1.4044e-26 3.7899e-24 3.8040e-24 2.3688e-04
3.6801e+01 1.3874e-26 3.6818e-24 6.5789e-34 8.5694e-28 1.3874e-26 3.6827e-24 3.6966e-24 2.3182e-04
3.7268e+01 1.3706e-26 3.5803e-24 6.2607e-34 8.1460e-28 1.3706e-26 3.5811e-24 3.5948e-24 2.2661e-04
3.7742e+01 1.3541e-26 3.4803e-24 5.9580e-34 7.7466e-28 1.3541e-26 3.4811e-24 3.4946e-24 2.2168e-04
3.8221e+01 1.3378e-26 3.3827e-24 5.6699e-34 7.3649e-28 1.3378e-26 3.3834e-24 3.3968e-24 2.1682e-04
3.8707e+01 1.3218e-26 3.2891e-24 5.3959e-34 7.0017e-28 1.3218e-26 3.2898e-24 3.3030e-24 2.1198e-04
3.9199e+01 1.3059e-26 3.1980e-24 5.1352e-34 6.6570e-28 1.3059e-26 3.1987e-24 3.2117e-24 2.0727e-04
3.9697e+01 1.2903e-26 3.1093e-24 4.8871e-34 6.3298e-28 1.2903e-26 3.1099e-24 3.1228e-24 2.0270e-04
4.0201e+01 1.2748e-26 3.0247e-24 4.6511e-34 6.0181e-28 1.2748e-26 3.0253e-24 3.0380e-24 1.9809e-04
4.0712e+01 1.2596e-26 2.9391e-24 4.4265e-34 5.7211e-28 1.2596e-26 2.9396e-24 2.9522e-24 1.9379e-04
4.1229e+01 1.2445e-26 2.8591e-24 4.2128e-34 5.4397e-28 1.2445e-26 2.8596e-24 2.8721e-24 1.8940e-04
4.1753e+01 1.2296e-26 2.7813e-24 4.0094e-34 5.1700e-28 1.2296e-26 2.7818e-24 2.7941e-24 1.8503e-04
4.2283e+01 1.2149e-26 2.7035e-24 3.8160e-34 4.9149e-28 1.2149e-26 2.7040e-24 2.7162e-24 1.8095e-04
4.2820e+01 1.2003e-26 2.6284e-24 3.6319e-34 4.6724e-28 1.2003e-26 2.6289e-24 2.6409e-24 1.7692e-04
4.3364e+01 1.1859e-26 2.5566e-24 3.4566e-34 4.4414e-28 1.1859e-26 2.5570e-24 2.5689e-24 1.7290e-04
4.3915e+01 1.1716e-26 2.4865e-24 3.2899e-34 4.2223e-28 1.1716e-26 2.4869e-24 2.4986e-24 1.6898e-04
4.4473e+01 1.1574e-26 2.4192e-24 3.1313e-34 4.0136e-28 1.1574e-26 2.4196e-24 2.4311e-24 1.6509e-04
4.5038e+01 1.1434e-26 2.3519e-24 2.9803e-34 3.8150e-28 1.1434e-26 2.3523e-24 2.3637e-24 1.6139e-04
4.5610e+01 1.1295e-26 2.2877e-24 2.8366e-34 3.6265e-28 1.1295e-26 2.2881e-24 2.2994e-24 1.5771e-04
4.6190e+01 1.1158e-26 2.2260e-24 2.6999e-34 3.4476e-28 1.1158e-26 2.2264e-24 2.2375e-24 1.5408e-04
4.6777e+01 1.1021e-26 2.1657e-24 2.5698e-34 3.2761e-28 1.1021e-26 2.1660e-24 2.1770e-24 1.5049e-04
4.7371e+01 1.0886e-26 2.1068e-24 2.4460e-34 3.1147e-28 1.0886e-26 2.1071e-24 2.1180e-24 1.4706e-04
4.7973e+01 1.0752e-26 2.0490e-24 2.3282e-34 2.9601e-28 1.0752e-26 2.0493e-24 2.0601e-24 1.4369e-04
4.8582e+01 1.0619e-26 1.9926e-24 2.2160e-34 2.8138e-28 1.0619e-26 1.9928e-24 2.0035e-24 1.4045e-04
4.9199e+01 1.0487e-26 1.9397e-24 2.1093e-34 2.6745e-28 1.0487e-26 1.9400e-24 1.9505e-24 1.3712e-04
4.9824e+01 1.0356e-26 1.8863e-24 2.0077e-34 2.5421e-28 1.0356e-26 1.8866e-24 1.8970e-24 1.3401e-04
