 1.0000E-01   1.186381126884306D+03   1.412018325061823D+03   1.128263183625633D+03   2.837551414361901D+02
 1.0500E-01   9.944666475527486D+02   1.214200173011181D+03   9.379336758311790D+02   2.762664971800021D+02
 1.2500E-01   5.689679794332385D+02   7.580051709588056D+02   5.192286894560025D+02   2.387764815028036D+02
 1.4000E-01   3.946807236877137D+02   5.641280485846521D+02   3.475203223407239D+02   2.166077262439282D+02
 1.5500E-01   2.280892664192082D+02   3.770093238643224D+02   1.809240614946694D+02   1.960852623696529D+02
 1.7500E-01   2.184537033962783D+02   3.279161352477657D+02   1.842792332126043D+02   1.436369020351613D+02
 2.0000E-01   2.316317915902038D+02   3.208927606464010D+02   2.023901022342574D+02   1.185026584121437D+02
 2.2000E-01   2.195670058981934D+02   2.995191321716879D+02   1.917383676896549D+02   1.077807644820329D+02
 2.5000E-01   1.827615980997265D+02   2.529890380476909D+02   1.556855619657740D+02   9.730347608191688D+01
 3.0000E-01   1.353624040724563D+02   1.921677234916941D+02   1.103336416769716D+02   8.183408181472245D+01
 3.1750E-01   1.240261461764445D+02   1.774988255618968D+02   9.959015464922635D+01   7.790867091267035D+01
 3.5000E-01   9.625998090476855D+01   1.453675830018838D+02   7.228749740966160D+01   7.308008559222225D+01
 4.0000E-01   7.076021073990637D+01   1.129757171463066D+02   4.863169321646357D+01   6.434402392984302D+01
 4.5000E-01   5.417022312061960D+01   9.134195350345058D+01   3.332679670302038D+01   5.801515680043020D+01
 5.3000E-01   4.245492350286531D+01   7.286670559691760D+01   2.474322775239823D+01   4.812347784451936D+01
 5.7000E-01   3.845980892997805D+01   6.605885141515202D+01   2.189340011080502D+01   4.416545130434697D+01
 6.5000E-01   3.251705477579927D+01   5.531505732933032D+01   1.760515198286329D+01   3.770990534646704D+01
 7.3000E-01   2.945879584657689D+01   4.773979322964735D+01   1.623670282037038D+01   3.150309040927696D+01
 8.5000E-01   2.719800590806014D+01   4.157312271462366D+01   1.557956403443211D+01   2.599355868019155D+01
 1.0000E+00   2.401678428089808D+01   3.667509512169137D+01   1.325180476432680D+01   2.342329035736458D+01
 1.1500E+00   2.186044043421546D+01   3.440041962709867D+01   1.175824035093687D+01   2.264217927616181D+01
 1.3000E+00   2.057294571783243D+01   3.391097768882472D+01   1.069004101387880D+01   2.322093667494592D+01
 1.3500E+00   2.067610983499915D+01   3.405671170949093D+01   1.121940522363949D+01   2.283730648585146D+01
 1.4000E+00   2.040937564590742D+01   3.395239105467272D+01   1.092078909554786D+01   2.303160195912486D+01
 1.5300E+00   2.004538966876238D+01   3.407203492341395D+01   1.085106451222472D+01   2.322097041118923D+01
 1.6500E+00   1.973061984096790D+01   3.415010445908015D+01   1.058605843766999D+01   2.356404602141016D+01
 1.8000E+00   1.940781804586953D+01   3.382103742185745D+01   1.042032314186844D+01   2.340071427998901D+01
 1.9000E+00   1.889356827088379D+01   3.316458883433395D+01   9.956732210744285D+00   2.320785662358967D+01
 2.0000E+00   1.780117155694180D+01   3.182729397805943D+01   9.012522725589477D+00   2.281477125246995D+01
 2.1500E+00   1.690675679489605D+01   3.035566977179812D+01   8.470178350046115D+00   2.188549142175201D+01
 2.2700E+00   1.463588992244673D+01   2.759240461245147D+01   6.486000140779725D+00   2.110640447167174D+01
 2.3500E+00   1.412890492040070D+01   2.678363704666383D+01   6.188220419701286D+00   2.059541662696254D+01
 2.5000E+00   1.323567552989951D+01   2.517155595881351D+01   5.739031453468955D+00   1.943252450534456D+01
 2.7500E+00   1.331396982205677D+01   2.363376099386117D+01   6.744986486330316D+00   1.688877450753086D+01
 2.9000E+00   1.368620472491179D+01   2.315891276217820D+01   7.443279439424478D+00   1.571563332275373D+01
 3.1000E+00   1.332807533584687D+01   2.189900054673284D+01   7.395332009264985D+00   1.450366853746785D+01
 3.3500E+00   1.396682634225617D+01   2.163102979406587D+01   8.321551327881723D+00   1.330947846618416D+01
 3.5000E+00   1.164861860269431D+01   1.940067575135868D+01   5.498516463591675D+00   1.390215928776700D+01
 3.7500E+00   9.988557273503133D+00   1.678824970295600D+01   4.347078227827756D+00   1.244117147512824D+01
 4.0000E+00   9.101377706533942D+00   1.508463415558169D+01   3.888025185601055D+00   1.119660896998063D+01
 4.5200E+00   7.634911733674810D+00   1.212593330806839D+01   3.312819050157602D+00   8.813114257910787D+00
 4.8000E+00   7.176320714619272D+00   1.102305258593817D+01   3.293836374120063D+00   7.729216211818107D+00
 5.0000E+00   7.050816336721843D+00   1.050984739991899D+01   3.384203826043811D+00   7.125643573875179D+00
 5.3000E+00   6.676548293852933D+00   9.594452165387363D+00   3.442360432930458D+00   6.152091732456908D+00
 5.6000E+00   7.024535038484027D+00   9.433138624587569D+00   4.283787298973927D+00   5.149351325613644D+00
 5.9000E+00   7.885685937863316D+00   9.921043091339016D+00   5.412180373370185D+00   4.508862717968832D+00
 6.7500E+00   6.767585862144458D+00   8.275133045616441D+00   4.717982465579228D+00   3.557150580037216D+00
 7.5500E+00   5.395186928383305D+00   6.459476910946860D+00   3.852845112840569D+00   2.606631798106291D+00
 8.2500E+00   5.723010930564515D+00   6.433779391846057D+00   4.566127204102705D+00   1.867652187743354D+00
 8.7000E+00   6.868100907548251D+00   7.435362538208720D+00   5.864714388178237D+00   1.570648150030483D+00
 9.0000E+00   8.149901667313344D+00   8.634409746910226D+00   7.227039714033056D+00   1.407370032877168D+00
 9.3000E+00   1.311908626651761D+01   1.359392786145763D+01   1.213013637475185D+01   1.463791486705783D+00
 9.7500E+00   1.420314489409816D+01   1.465398733187465D+01   1.316907478496861D+01   1.484912546906027D+00
 1.0000E+01   1.410479582057052D+01   1.453614004722608D+01   1.305406538199725D+01   1.482074665228827D+00
 1.0500E+01   1.256667028186180D+01   1.296190596518256D+01   1.157554030400874D+01   1.386365661173811D+00
 1.1000E+01   1.101491190041736D+01   1.137046314392376D+01   1.010307793292770D+01   1.267385210996062D+00
 1.1400E+01   9.845950446704528D+00   1.017726674670104D+01   8.996169464022831D+00   1.181097282678205D+00
 1.2000E+01   8.087964049941700D+00   8.390764782299177D+00   7.357551775683268D+00   1.033213006615907D+00
 1.2700E+01   7.389933197692710D+00   7.621970305942657D+00   6.804348222228706D+00   8.176220837139518D-01
 1.3500E+01   8.424450582081805D+00   8.586198014842180D+00   7.955807689702469D+00   6.303903251397116D-01
 1.5000E+01   9.555535536209916D+00   9.663374388457012D+00   9.188765789838104D+00   4.746085986189091D-01
 1.6500E+01   1.223289454718516D+01   1.233377468717704D+01   1.185849884987153D+01   4.752758373055120D-01
 1.8000E+01   1.155066535201853D+01   1.164631040299923D+01   1.117203312792794D+01   4.742772750712927D-01
 1.9000E+01   1.062143020065015D+01   1.070429467510179D+01   1.027351310388008D+01   4.307815712217116D-01
