 1.0000E-01   1.044997461407075D+03   1.289503335763588D+03   9.927203052218764D+02   2.967830305417124D+02
 1.0500E-01   9.190643475439704D+02   1.173144373168147D+03   8.632539034479003D+02   3.098904697202472D+02
 1.2500E-01   5.940809657065720D+02   8.348809609088707D+02   5.354065025799592D+02   2.994744583289117D+02
 1.4000E-01   4.488844354980140D+02   6.688210650039407D+02   3.894089078779422D+02   2.794121571259982D+02
 1.5500E-01   3.123974121958786D+02   5.063818368781347D+02   2.506144619422080D+02   2.557673749359267D+02
 1.7500E-01   2.927108179019224D+02   4.427842675900125D+02   2.413955254122262D+02   2.013887421777864D+02
 2.0000E-01   2.903366979301111D+02   4.143302984535243D+02   2.449557370778759D+02   1.693745613756481D+02
 2.2000E-01   2.740164658285842D+02   3.845589067346655D+02   2.306951415971824D+02   1.538637651374829D+02
 2.5000E-01   2.379332089960696D+02   3.334650337349225D+02   1.961505693757249D+02   1.373144643591975D+02
 3.0000E-01   1.911305613793640D+02   2.672270328596042D+02   1.528283367069051D+02   1.143986961526991D+02
 3.1750E-01   1.794192138863417D+02   2.501484592300814D+02   1.422515522356281D+02   1.078969069944531D+02
 3.5000E-01   1.545787802592799D+02   2.170160954558401D+02   1.188042410126383D+02   9.821185444320176D+01
 4.0000E-01   1.299575541153299D+02   1.815857521746133D+02   9.787422720063401D+01   8.371152497397924D+01
 4.5000E-01   1.117419819424188D+02   1.551851541291914D+02   8.321528392962021D+01   7.196987019957123D+01
 5.3000E-01   9.327866624690076D+01   1.264389006193615D+02   6.925196097839971D+01   5.718693964096185D+01
 5.7000E-01   8.685298095182759D+01   1.165376214396577D+02   6.441827498509944D+01   5.211934645455820D+01
 6.5000E-01   7.786137628499634D+01   1.026350074949341D+02   5.829750413621289D+01   4.433750335872124D+01
 7.3000E-01   7.280283074913442D+01   9.403564083875119D+01   5.557573361551286D+01   3.845990722323833D+01
 8.5000E-01   6.563645402216824D+01   8.326139044597117D+01   5.080392005945512D+01   3.245747038651609D+01
 1.0000E+00   5.506769276205841D+01   6.971211592852134D+01   4.222071113311019D+01   2.749140479541116D+01
 1.1500E+00   4.705445198709428D+01   5.961480089216619D+01   3.615158618202385D+01   2.346321471014234D+01
 1.3000E+00   4.147386075178843D+01   5.219653023345997D+01   3.266559942435384D+01   1.953093080910609D+01
 1.3500E+00   4.044809787062847D+01   5.057725307024084D+01   3.228257425592705D+01   1.829467881431380D+01
 1.4000E+00   3.931544822289187D+01   4.891605607582732D+01   3.169597932938985D+01   1.722007674643747D+01
 1.5300E+00   3.751341987767857D+01   4.603569237780289D+01   3.103682607551973D+01   1.499886630228318D+01
 1.6500E+00   3.571262623158400D+01   4.357360527668474D+01   2.988071148015548D+01   1.369289379652925D+01
 1.8000E+00   3.169693246907904D+01   3.891713082579427D+01   2.625390259601136D+01   1.266322822978290D+01
 1.9000E+00   2.827797463184296D+01   3.512100536365409D+01   2.280358258706106D+01   1.231742277659302D+01
 2.0000E+00   2.548623662501892D+01   3.204118505232655D+01   1.971052611724393D+01   1.233065893508261D+01
 2.1500E+00   2.259869058019252D+01   2.890824389822178D+01   1.612264442149958D+01   1.278559947672220D+01
 2.2700E+00   1.945626582812967D+01   2.578058174694991D+01   1.103744246839587D+01   1.474313927855404D+01
 2.3500E+00   1.994364110131811D+01   2.656727684783148D+01   1.090490368574001D+01   1.566237316209146D+01
 2.5000E+00   1.971665033715861D+01   2.651519527676248D+01   9.270270357719872D+00   1.724492491904262D+01
 2.7500E+00   2.041602907640295D+01   2.751597458797855D+01   8.931458448201958D+00   1.858451613977659D+01
 2.9000E+00   2.114178415969635D+01   2.847459271341649D+01   9.240904272460446D+00   1.923368844095605D+01
 3.1000E+00   2.176995856395970D+01   2.962231648956151D+01   8.996277791023834D+00   2.062603869853767D+01
 3.3500E+00   2.273247786010482D+01   3.096853399813769D+01   1.029138889953486D+01   2.067714509860284D+01
 3.5000E+00   2.178763449806984D+01   3.059491367094873D+01   7.098985128101447D+00   2.349592854284726D+01
 3.7500E+00   2.050036078409014D+01   2.970481223900783D+01   5.704376213035989D+00   2.400043602597182D+01
 4.0000E+00   1.936711709009008D+01   2.835653862272038D+01   5.068428286723730D+00   2.328811033599665D+01
 4.5200E+00   1.682562209828753D+01   2.489335011182965D+01   4.218164447106581D+00   2.067518566472306D+01
 4.8000E+00   1.555629496894856D+01   2.301081354664322D+01   4.077326765637385D+00   1.893348678100583D+01
 5.0000E+00   1.478235597481625D+01   2.180145712301845D+01   4.102829250586864D+00   1.769862787243159D+01
 5.3000E+00   1.349835955075956D+01   1.982705650219610D+01   4.012400089445733D+00   1.581465641275037D+01
 5.6000E+00   1.277530426817855D+01   1.828389935719161D+01   4.773421989222628D+00   1.351047736796898D+01
 5.9000E+00   1.263632936203316D+01   1.739375153820104D+01   5.821459098950127D+00   1.157229243925091D+01
 6.7500E+00   1.025815350447933D+01   1.384516117866205D+01   4.741135806328374D+00   9.104025372333679D+00
 7.5500E+00   7.866444265623644D+00   1.060022790150551D+01   3.477379338806753D+00   7.122848562698755D+00
 8.2500E+00   7.052147015652029D+00   9.075292237762035D+00   3.816640417932735D+00   5.258651819829302D+00
 8.7000E+00   7.217936612812590D+00   8.848295559995984D+00   4.612068147758691D+00   4.236227412237294D+00
 9.0000E+00   7.737645484331138D+00   9.075548516438666D+00   5.602770336844471D+00   3.472778179594195D+00
 9.3000E+00   1.057566094712507D+01   1.162189930728946D+01   8.776875396960502D+00   2.845023910328956D+00
 9.7500E+00   1.173878507268840D+01   1.267821796327122D+01   9.956287952896172D+00   2.721930010375040D+00
 1.0000E+01   1.185421639401140D+01   1.274398616312788D+01   1.010014458637477D+01   2.643841576753106D+00
 1.0500E+01   1.128815228571332D+01   1.211691155306066D+01   9.567723646268322D+00   2.549187906792339D+00
 1.1000E+01   1.009544830212135D+01   1.088107105526823D+01   8.433845558536321D+00   2.447225496731911D+00
 1.1400E+01   8.937119301853292D+00   9.697545253035377D+00   7.330862963548791D+00   2.366682289486588D+00
 1.2000E+01   6.942728930396180D+00   7.670636021364651D+00   5.453622119577947D+00   2.217013901786705D+00
 1.2700E+01   5.869930324109083D+00   6.491466321377994D+00   4.624170023797022D+00   1.867296297580967D+00
 1.3500E+01   6.362310522824702D+00   6.835201151417292D+00   5.365822802406022D+00   1.469378349011273D+00
 1.5000E+01   6.720787260535941D+00   7.039732750825559D+00   5.971473803709381D+00   1.068258947116184D+00
 1.6500E+01   7.575637554485592D+00   7.799415631244313D+00   6.944307807244520D+00   8.551078239997927D-01
 1.8000E+01   6.787346778810480D+00   6.969523994897023D+00   6.229152519274780D+00   7.403714756222437D-01
 1.9000E+01   6.236253624650184D+00   6.395507733364355D+00   5.727666979489063D+00   6.678407538752925D-01
 2.0000E+01   5.570295991232232D+00   5.711563851252578D+00   5.112457392253092D+00   5.991064589994834D-01
 2.1000E+01   5.135905804941938D+00   5.258668552916212D+00   4.728289513745045D+00   5.303790391711707D-01
 2.3000E+01   4.569473957945339D+00   4.660848038536622D+00   4.246135220959043D+00   4.147128175775774D-01
 2.5000E+01   4.362318024966389D+00   4.428664304339608D+00   4.101974669083801D+00   3.266896352558089D-01
